Year,Round,Region Number,Region Name,Winning Seed,Winning Score,Winning Team,Losing Team,Losing Score,Losing Seed
1985,1,1,West,1,83,St Johns,Southern,59,16
1985,1,1,West,2,81,VCU,Marshall,65,15
1985,1,1,West,3,65,NC State,Nevada,56,14
1985,1,1,West,4,85,UNLV,San Diego St,80,13
1985,1,1,West,7,50,Alabama,Arizona,41,10
1985,1,2,East,1,68,Georgetown,Lehigh,43,16
1985,1,2,East,2,65,Georgia Tech,Mercer,58,15
1985,1,2,East,3,76,Illinois,Northeastern,57,14
1985,1,2,East,4,59,Loyola Illinois,Iona,58,13
1985,1,2,East,5,85,SMU,Old Dominion,68,12
1985,1,2,East,6,67,Georgia,Wichita St,59,11
1985,1,2,East,7,70,Syracuse,DePaul,65,10
1985,1,2,East,8,60,Temple,Virginia Tech,57,9
1985,1,3,Midwest,1,96,Oklahoma,North Carolina A&T,83,16
1985,1,3,Midwest,2,67,Memphis,Pennsylvania,55,15
1985,1,3,Midwest,3,75,Duke,Pepperdine,62,14
1985,1,3,Midwest,4,75,Ohio St,Iowa St,64,13
1985,1,3,Midwest,5,78,Louisiana Tech,Pittsburgh,54,12
1985,1,3,Midwest,7,70,UAB,Michigan St,68,10
1985,1,4,Southeast,1,59,Michigan,Fairleigh Dickinson,55,16
1985,1,4,Southeast,2,76,North Carolina,Middle Tennessee St,57,15
1985,1,4,Southeast,3,49,Kansas,Ohio,38,14
1985,1,4,Southeast,5,69,Maryland,Miami Ohio,68,12
1985,1,4,Southeast,7,79,Notre Dame,Oregon St,70,10
1985,1,4,Southeast,8,51,Villanova,Dayton,49,9
1985,2,1,West,1,68,St Johns,Arkansas,65,9
1985,2,1,West,3,86,NC State,UTEP,73,11
1985,2,2,East,1,63,Georgetown,Temple,46,8
1985,2,2,East,2,70,Georgia Tech,Syracuse,53,7
1985,2,2,East,3,74,Illinois,Georgia,58,6
1985,2,2,East,4,70,Loyola Illinois,SMU,57,5
1985,2,3,Midwest,1,75,Oklahoma,Illinois St,69,9
1985,2,3,Midwest,2,67,Memphis,UAB,66,7
1985,2,4,Southeast,2,60,North Carolina,Notre Dame,58,7
1985,3,1,West,1,86,St Johns,Kentucky,70,12
1985,3,2,East,1,65,Georgetown,Loyola Illinois,53,4
1985,3,2,East,2,61,Georgia Tech,Illinois,53,3
1985,3,3,Midwest,1,86,Oklahoma,Louisiana Tech,84,5
1985,3,3,Midwest,2,59,Memphis,Boston College,57,11
1985,3,4,Southeast,8,46,Villanova,Maryland,43,5
1985,3,4,Southeast,2,62,North Carolina,Auburn,56,11
1985,4,1,West,1,69,St Johns,NC State,60,3
1985,4,2,East,1,60,Georgetown,Georgia Tech,54,2
1985,4,4,Southeast,8,56,Villanova,North Carolina,44,2
1986,1,1,Southeast,1,75,Kentucky,Davidson,55,16
1986,1,1,Southeast,2,68,Georgia Tech,Marist,53,15
1986,1,1,Southeast,3,95,Memphis,Ball St,63,14
1986,1,1,Southeast,4,75,Illinois,Fairfield,51,13
1986,1,1,Southeast,5,97,Alabama,Xavier,80,12
1986,1,1,Southeast,8,67,Western Kentucky,Nebraska,59,9
1986,1,2,West,1,83,St Johns,Montana St,74,16
1986,1,2,West,2,93,Louisville,Drexel,73,15
1986,1,2,West,3,84,North Carolina,Utah,72,14
1986,1,2,West,4,74,UNLV,Louisiana Monroe,51,13
1986,1,2,West,5,69,Maryland,Pepperdine,64,12
1986,1,2,West,6,66,UAB,Missouri,64,11
1986,1,2,West,7,83,Bradley,UTEP,65,10
1986,1,2,West,8,73,Auburn,Arizona,63,9
1986,1,3,East,1,85,Duke,Mississippi Valley St,78,16
1986,1,3,East,2,101,Syracuse,Brown,52,15
1986,1,3,East,4,80,Oklahoma,Northeastern,74,13
1986,1,3,East,6,60,St Josephs,Richmond,59,11
1986,1,3,East,7,87,Navy,Tulsa,68,10
1986,1,3,East,8,72,Old Dominion,West Virginia,64,9
1986,1,4,Midwest,1,71,Kansas,North Carolina A&T,46,16
1986,1,4,Midwest,2,70,Michigan,Akron,64,15
1986,1,4,Midwest,4,70,Georgetown,Texas Tech,64,13
1986,1,4,Midwest,5,72,Michigan St,Washington,70,12
1986,1,4,Midwest,6,66,NC State,Iowa,64,11
1986,1,4,Midwest,7,81,Iowa St,Miami Ohio,79,10
1986,2,1,Southeast,1,71,Kentucky,Western Kentucky,64,8
1986,2,1,Southeast,2,66,Georgia Tech,Villanova,61,10
1986,2,2,West,2,82,Louisville,Bradley,68,7
1986,2,2,West,3,77,North Carolina,UAB,59,6
1986,2,2,West,4,70,UNLV,Maryland,64,5
1986,2,3,East,1,89,Duke,Old Dominion,61,8
1986,2,3,East,14,75,Cleveland St,St Josephs,69,6
1986,2,4,Midwest,1,65,Kansas,Temple,43,9
1986,3,1,Southeast,1,68,Kentucky,Alabama,63,5
1986,3,2,West,8,70,Auburn,UNLV,63,4
1986,3,2,West,2,94,Louisville,North Carolina,79,3
1986,3,3,East,1,74,Duke,DePaul,67,12
1986,3,3,East,7,71,Navy,Cleveland St,70,14
1986,3,4,Midwest,1,96,Kansas,Michigan St,86,5
1986,4,3,East,1,71,Duke,Navy,50,7
1986,4,4,Midwest,1,75,Kansas,NC State,67,6
1986,5,2,Final Four,1,71,Duke,Kansas,67,1
1986,6,1,Championship,2,72,Louisville,Duke,69,1
1987,1,1,West,1,95,UNLV,Idaho St,70,16
1987,1,1,West,2,99,Iowa,Santa Clara,76,15
1987,1,1,West,3,93,Pittsburgh,Marist,68,14
1987,1,1,West,4,92,UCLA,Central Michigan,73,13
1987,1,1,West,6,74,Oklahoma,Tulsa,69,11
1987,1,1,West,7,98,UTEP,Arizona,91,10
1987,1,2,Midwest,1,92,Indiana,Fairfield,58,16
1987,1,2,Midwest,2,75,Temple,Southern,56,15
1987,1,2,Midwest,3,76,DePaul,Louisiana Tech,62,14
1987,1,2,Midwest,5,58,Duke,Texas A&M,51,12
1987,1,2,Midwest,6,57,St Johns,Wichita St,55,11
1987,1,2,Midwest,8,62,Auburn,San Diego,61,9
1987,1,3,Southeast,1,75,Georgetown,Bucknell,53,16
1987,1,3,Southeast,2,88,Alabama,North Carolina A&T,71,15
1987,1,3,Southeast,5,66,Kansas,Houston,55,12
1987,1,3,Southeast,6,90,Providence,UAB,68,11
1987,1,3,Southeast,7,83,New Orleans,BYU,79,10
1987,1,4,East,1,113,North Carolina,Pennsylvania,82,16
1987,1,4,East,2,79,Syracuse,Georgia Southern,73,15
1987,1,4,East,3,104,Purdue,Northeastern,95,14
1987,1,4,East,4,76,TCU,Marshall,60,13
1987,1,4,East,5,84,Notre Dame,Middle Tennessee St,71,12
1987,1,4,East,6,82,Florida,NC State,70,11
1987,2,1,West,1,80,UNLV,Kansas St,61,9
1987,2,1,West,2,84,Iowa,UTEP,82,7
1987,2,2,Midwest,1,107,Indiana,Auburn,90,8
1987,2,2,Midwest,3,83,DePaul,St Johns,75,6
1987,2,3,Southeast,1,82,Georgetown,Ohio St,79,9
1987,2,3,Southeast,2,101,Alabama,New Orleans,76,7
1987,2,4,East,1,109,North Carolina,Michigan,97,9
1987,2,4,East,2,104,Syracuse,Western Kentucky,86,10
1987,3,1,West,1,92,UNLV,Wyoming,78,12
1987,3,1,West,2,93,Iowa,Oklahoma,91,6
1987,3,2,Midwest,1,88,Indiana,Duke,82,5
1987,3,2,Midwest,10,63,LSU,DePaul,58,3
1987,3,3,Southeast,1,70,Georgetown,Kansas,57,5
1987,3,4,East,1,74,North Carolina,Notre Dame,68,5
1987,3,4,East,2,87,Syracuse,Florida,81,6
1987,4,1,West,1,84,UNLV,Iowa,81,2
1987,4,2,Midwest,1,77,Indiana,LSU,76,10
1987,6,1,Championship,1,74,Indiana,Syracuse,73,2
1988,1,1,Midwest,1,94,Purdue,Fairleigh Dickinson,79,16
1988,1,1,Midwest,2,108,Pittsburgh,Eastern Michigan,90,15
1988,1,1,Midwest,4,66,Kansas St,La Salle,53,13
1988,1,1,Midwest,5,83,DePaul,Wichita St,62,12
1988,1,1,Midwest,6,85,Kansas,Xavier,72,11
1988,1,1,Midwest,7,80,Vanderbilt,Utah St,77,10
1988,1,2,East,1,87,Temple,Lehigh,73,16
1988,1,2,East,2,85,Duke,Boston University,69,15
1988,1,2,East,3,69,Syracuse,North Carolina A&T,55,14
1988,1,2,East,5,90,Georgia Tech,Iowa St,78,12
1988,1,2,East,7,83,SMU,Notre Dame,75,10
1988,1,2,East,8,66,Georgetown,LSU,63,9
1988,1,3,West,1,90,Arizona,Cornell,50,16
1988,1,3,West,2,83,North Carolina,North Texas St,65,15
1988,1,3,West,3,63,Michigan,Boise St,58,14
1988,1,3,West,4,54,UNLV,Southwest Missouri St,50,13
1988,1,3,West,5,102,Iowa,Florida St,98,12
1988,1,3,West,6,62,Florida,St Johns,59,11
1988,1,3,West,8,80,Seton Hall,UTEP,64,9
1988,1,4,Southeast,1,94,Oklahoma,Chattanooga,66,16
1988,1,4,Southeast,2,99,Kentucky,Southern,84,15
1988,1,4,Southeast,3,81,Illinois,Texas San Antonio,72,14
